candidate_id,source_id,source_file,page_start,page_end,chunk_type,suggested_question_type,generated_question,generated_answer,evidence_quote,warnings,review_status,final_question,final_answer,final_question_type,reviewer_notes
grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions::safety_or_constraint::9c817b6ec7e1,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions.pdf,38,38,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for English (US) on the Grundfos pump?,"re open, the pump either stops or runs a t the normal setpoint. Set the desired action with Grundfos GO or wit h the advanced control panel. Factory setting","re open, the pump either stops or runs a t the
normal setpoint. Set the desired action with Grundfos GO or wit h
the advanced control panel.
Factory setting",,,,,,
grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions::definition_or_component_lookup::bf9b951e7105,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions.pdf,39,39,safety_and_constraint,definition_or_component_lookup,What does pump refer to on the Grundfos pump?,The function is to monitor the outlet pressure of a pump.,"The function is to monitor the outlet pressure of a pump. If th e
pressure is below 5 bar for more than 5 seconds, a warning must
be given. If the outlet pressure is above 7 bar for more than 8
seconds, you must reset the warning.",definition_fallback_candidate,,,,,
grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions::safety_or_constraint::71900f1a592f,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions.pdf,42,42,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for English (US) on the Grundfos pump?,"11.39 Warning log This menu contains a list of l ogged warnings from the product. The log shows the name of the warning, when the warning occurred and when it was reset.","11.39 Warning log
This menu contains a list of l ogged warnings from the product.
The log shows the name of the warning, when the warning
occurred and when it was reset.",,,,,,
grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions::symptom_cause::abf8fec4d498,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions.pdf,43,43,alarm_fault_code,symptom_cause,What could cause 11.41 Assisted pump setup on the Grundfos pump?,easuring uni t according to the sens or specifications. 9. Set the minimum and maximum sensor values according to the sensor specifications. 10. Set the desired setpoint.,"easuring uni t according to the sens or specifications.
9. Set the minimum and maximum sensor values according to
the sensor specifications.
10. Set the desired setpoint.",,,,,,
grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions::safety_or_constraint::aa7df94af40f,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions.pdf,51,51,safety_and_constraint,safety_or_constraint,What safety precaution or limit should I follow for Description Grundfos Eye on the Grundfos pump?,modeOperation Running Ready Alarm Warning The power is off. Off -,"modeOperation Running Ready Alarm Warning
The power is off.
Off
-",likely_table_broken; heading_like_question_subject,,,,,
grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions::troubleshooting_step::e396eccfa5ff,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions.pdf,58,58,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot English (US) on the Grundfos pump?,"Note: When connected to a public network, 11 kW motors do not comply with the partial weight ed harmonic distortion (PWHD) requirements of EN 61000-3-12. If required by the distribution network operator, compliance c an be obtained in the following way:","Note: When connected to a public network, 11 kW motors do not
comply with the partial weight ed harmonic distortion (PWHD)
requirements of EN 61000-3-12. If required by the distribution
network operator, compliance c an be obtained in the following
way:",,,,,,
grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions::troubleshooting_step::5ec1d55e7e4e,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions,grundfos_nbe_nbse_nke_tpe_tped_installation_and_operating_instructions.pdf,61,61,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot for Electronically Protected Motors on the Grundfos pump?,Ce produit a été testé selon l es normes national es s'appliquant aux moteurs protégés électroniquement: CSA 22.2 100.04: 2009 (s'applique au Canada uniquement). UL 1004-1: Juin 2011 (s'applique aux États-Unis uniquement). 1.2 Radio communication,"Ce produit a été testé selon l es normes national es s'appliquant
aux moteurs protégés électroniquement:
CSA 22.2 100.04: 2009 (s'applique au Canada uniquement).
UL 1004-1: Juin 2011 (s'applique aux États-Unis uniquement).
1.2 Radio communication",,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::parameter_or_fault_code::2a9222e777c9,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,3,3,alarm_fault_code,parameter_or_fault_code,What does Alarm 5.108 indicate on the Haas rotary unit?,"Alarm 5.108, 6.108 or 7.108 A, B or C AXIS SERVO OVERLOAD The feeds and speeds are too","Alarm 5.108, 6.108 or
7.108 A, B or C AXIS
SERVO OVERLOAD
The feeds and
speeds are too",likely_table_broken,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::symptom_cause::f252e0a6ad0c,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,5,5,alarm_fault_code,symptom_cause,What could cause Alarm 5.423 on the Haas rotary unit?,"Alarm 5.423, 6.423 or 7.423 A, B or C AXIS SECONDARY ENCODER POSITION MISMATCH","Alarm 5.423, 6.423 or
7.423 A, B or C AXIS
SECONDARY
ENCODER POSITION
MISMATCH",likely_table_broken,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::parameter_or_fault_code::3aa8dc68a250,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,7,7,alarm_fault_code,parameter_or_fault_code,What does Alarm 5.9923 indicate on the Haas rotary unit?,"CHANNEL FAULT DETECTED Alarm 5.9923, 6.9923 or 7.9923 A, B or C AXIS SOFTWARE","CHANNEL FAULT
DETECTED
Alarm 5.9923, 6.9923
or 7.9923 A, B or C
AXIS SOFTWARE",likely_table_broken,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::symptom_cause::b6732d2c249e,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,14,14,alarm_fault_code,symptom_cause,What could cause Alarm 5.9719 on the Haas rotary unit?,(Faulty servo motor encoder.) Refer to Serial Data Communication Faults / Electrical Noise section below.,"(Faulty servo
motor encoder.)
Refer to Serial Data
Communication Faults /
Electrical Noise section below.",likely_table_broken,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::parameter_or_fault_code::e63f0d3d7441,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,15,15,alarm_fault_code,parameter_or_fault_code,What does Alarm 5.9720 indicate on the Haas rotary unit?,faulty.) (Inspect the cables and connectors. Refer to the Main Processor/Encoder Cable section below.),"faulty.)
(Inspect the cables and
connectors. Refer to the Main
Processor/Encoder Cable section
below.)",likely_table_broken,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::symptom_cause::b67dca0b9e92,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,16,16,alarm_fault_code,symptom_cause,What could cause Alarm 5.9720 on the Haas rotary unit?,ENCODER FAULT) (Software has reported an internal fault of a type that is,"ENCODER FAULT)
(Software has
reported an
internal fault of
a type that is",likely_table_broken,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::parameter_or_fault_code::ae5ec49fa7c2,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,21,21,alarm_fault_code,parameter_or_fault_code,What does Alarm 5.9923 indicate on the Haas rotary unit?,"CHANNEL FAULT DETECTED Alarm 5.9923, 6.9923 or 7.9923 A, B or C AXIS SOFTWARE","CHANNEL FAULT
DETECTED
Alarm 5.9923, 6.9923
or 7.9923 A, B or C
AXIS SOFTWARE",likely_table_broken,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::parameter_or_fault_code::fd4d003ce487,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,28,28,alarm_fault_code,parameter_or_fault_code,What does Alarm 5.9719 indicate on the Haas rotary unit?,(Faulty servo motor encoder.) Refer to Serial Data Communication Faults / Electrical Noise section below.,"(Faulty servo
motor encoder.)
Refer to Serial Data
Communication Faults /
Electrical Noise section below.",likely_table_broken,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::symptom_cause::af846e3d1ddc,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,30,30,alarm_fault_code,symptom_cause,What could cause Alarm 5.9720 on the Haas rotary unit?,ENCODER FAULT) (Software has reported an internal fault of a type that is,"ENCODER FAULT)
(Software has
reported an
internal fault of
a type that is",likely_table_broken,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::parameter_or_fault_code::894fe23de2a9,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,32,32,alarm_fault_code,parameter_or_fault_code,Which setting or parameter matters for Rotary Pressure Switch testing on the Haas rotary unit?,5.,"5. See if the alarm follows the suspected failed component.
Step 4 can either be done by switching the axis of the pressure switch if it's on a dual axis rotary or moving the
switch to a different rotary if it is on a single axis rotary.
HSG-A 01-18-2023",short_generated_answer,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::parameter_or_fault_code::d3a227ffec6d,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,32,32,alarm_fault_code,parameter_or_fault_code,Which setting or parameter matters for Rotary Pressure Switch testing on the Haas rotary unit?,"""CH 4 [A] axis brake air pressure"".","""CH 4 [A] axis brake air
pressure"". Disconnect the rotary's airline and observe the bit ""CH 4 [A] axis brake air pressure"". If the pressure
sensor changes, then the solenoid is sticking; if the sensor doesn't change, then the switch is sticking.
Note: The channel number you will need to observe will depend on what axis is having the issue. CH4 is for the",,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::symptom_cause::fe1266ade3bb,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,32,32,alarm_fault_code,symptom_cause,What could cause Rotary Pressure Switch testing on the Haas rotary unit?,Rotary Pressure Switch testing Test 1: Exercise the brake a few times.,"Rotary Pressure Switch testing
Test 1: Exercise the brake a few times. The pressure switch can get jammed if it is not used for a while
(example: overnight).
Test 2: Press [Diagnostics], then navigate to the Diagnostics -> MOCON tab and find ""CH 4 [A] axis brake",,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::troubleshooting_step::071921dce08a,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,42,42,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot Corrective Action on the Haas rotary unit?,"The O-ring has been removed on current production rotaries, but previous models will need to have it removed in the field. A plug bolt may need to be added, 40-1631 & 49-4101. Go to the TRT70 O-RING REMOVAL procedure for details.","The O-ring has been removed on current production rotaries, but previous models will need to have it removed
in the field. A plug bolt may need to be added, 40-1631 & 49-4101. Go to the TRT70 O-RING
REMOVAL procedure for details.",heading_like_question_subject,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::parameter_or_fault_code::bed3160ba3d5,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,43,43,alarm_fault_code,parameter_or_fault_code,Which setting or parameter matters for Corrective Action on the Haas rotary unit?,crimp.,"crimp. If the cables are connected correctly and not damaged, and the alarm persists, the rotary unit must be
serviced.
For instructions on where to find a rotary repair facility and how to send your rotary unit, go to the HAAS
ROTARY REPAIR CENTER page.",short_generated_answer; heading_like_question_subject,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::troubleshooting_step::03681d64735e,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,46,46,maintenance_procedure,troubleshooting_step,How should I troubleshoot HRC Units - Rear Seal Popping Out on the Haas rotary unit?,read to the back of the brake cap and remove it [1].,"read to the back of the brake cap and remove it [1].
The threaded holes should be the ones denoted [2] and should be across from each other.
Using the other bolts on the threaded holes [3] as jacks, turn the bolts on each side evenly, so the plate comes
off.
Make sure to use place plates of some sort [4] to prevent damage to the rotary.",,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::troubleshooting_step::62cce30b02e2,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,46,46,maintenance_procedure,troubleshooting_step,How should I troubleshoot HRC Units - Rear Seal Popping Out on the Haas rotary unit?,Remove the air supply to the table.,"Remove the air supply to the table.
Place the rotary on its platter face and remove the rear M5 brake bolts.
Use the fixture made to thread to the back of the brake cap and remove it [1].
The threaded holes should be the ones denoted [2] and should be across from each other.",,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::parameter_or_fault_code::252ea66adb96,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,52,52,alarm_fault_code,parameter_or_fault_code,Which setting or parameter matters for Serial Data Communication Faults / Electrical Noise on the Haas rotary unit?,"Serial Data Communication Faults / Electrical Noise Sigma-5 servo motors, non-contact encoders output serial data signal to the control.","Serial Data Communication Faults / Electrical Noise
Sigma-5 servo motors, non-contact encoders output serial data signal to the control. If the serial data signal is
missing or becomes unreliable the control will generate a serial data communication error. Electrical noise can
cause the serial data signal from the encoder to become unreliable and cause false alarms. Follow the
troubleshooting guide below to help elim",,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::parameter_or_fault_code::8a19c66e1792,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,52,52,alarm_fault_code,parameter_or_fault_code,Which setting or parameter matters for Serial Data Communication Faults / Electrical Noise on the Haas rotary unit?,"nectors at PCB or at the motor encoder, can cause the serial data to become unreliable.","nectors at PCB or at the motor encoder, can cause the serial data to
become unreliable. Refer to the Main Processor / Encoder Cable section.
4. Loose ground or high voltage power connectors will induce noise into the system.
electrical cabinet check for loose connection at all the ground and high voltage power",,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::troubleshooting_step::b4497110975d,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,53,54,troubleshooting_procedure,troubleshooting_step,How should I troubleshoot Corrective Action on the Haas rotary unit?,Examine the connector [1] on the Maincon.,"Examine the connector [1] on the Maincon. Make sure it is not damaged.
Examine the cable. Look for signs of damage or stiffness. The connector [4] has two housings [2,3] for the
cable pins.
If the pins have been pushed into the motor, you must replace the motor and cable together.
Make sure the cable is firmly connected at both ends. Reseat both connections. Make sure the cable is",heading_like_question_subject,,,,,
haascnc_com_rotary_troubleshooting_guide_ngc::symptom_cause::2556087410de,haascnc_com_rotary_troubleshooting_guide_ngc,haascnc.com-Rotary - Troubleshooting Guide - NGC.pdf,55,55,alarm_fault_code,symptom_cause,What could cause Alarm 4011 on the Haas rotary unit?,Faulty Pressure Switch Identification Possible Cause: Potential leak detected inside the enclosure.,"Faulty Pressure Switch Identification
Possible Cause: Potential leak detected inside the enclosure. Alarm 4011 has been triggered.
Corrective Action: If the front rubber plug is missing, it is a clear indication that the pressure switch has failed
and must be replaced.
Note: If the pressure switch is replaced on an HRTSS, the brake must be bled. For brake bleed instructions,",,,,,,
rockwell_powerflex_520_series_user_manual_520_um001_en_e::definition_or_component_lookup::68d54b299f98,rockwell_powerflex_520_series_user_manual_520_um001_en_e,rockwell_powerflex_520-series_user_manual_520-um001-en-e.pdf,40,40,parameter_and_configuration,definition_or_component_lookup,What does relay refer to on the PowerFlex 520-series drive?,R1 Relay N.O.,"R1 Relay N.O. Fault Normally open contact for output relay.
t076R2 Relay Common Fault Common for output relay.
R3 Relay N.C. Fault Normally closed contact for output relay.
01 Stop Coast Three wire stop. However, it functions as a stop under all",definition_fallback_candidate; short_generated_answer,,,,,
rockwell_powerflex_520_series_user_manual_520_um001_en_e::definition_or_component_lookup::76106ece2c14,rockwell_powerflex_520_series_user_manual_520_um001_en_e,rockwell_powerflex_520-series_user_manual_520-um001-en-e.pdf,43,43,safety_and_constraint,definition_or_component_lookup,What does motor refer to on the PowerFlex 520-series drive?,R1 Relay 1 N.O. Fault Normally open contact for output relay. t076R2 Relay 1 Common Fault Common for output relay. R5 Relay 2 Common Motor Running Common for output relay. t081,"R1 Relay 1 N.O. Fault Normally open contact for output relay. t076R2 Relay 1 Common Fault Common for output relay.
R5 Relay 2 Common Motor
Running Common for output relay.
t081",definition_fallback_candidate; likely_table_broken,,,,,
